id,keem_line,husband_line,kemler_line,kaplan_line
248,t,f,f,f
249,t,f,f,f
253,t,f,f,f
653,f,f,f,t
229,t,f,f,f
265,t,f,f,f
274,t,f,f,f
275,t,f,f,f
276,t,f,f,f
277,t,f,f,f
278,t,f,f,f
279,t,f,f,f
280,t,f,f,f
281,t,f,f,f
287,t,f,f,f
297,t,f,f,f
298,t,f,f,f
299,t,f,f,f
300,t,f,f,f
301,t,f,f,f
302,t,f,f,f
303,t,f,f,f
306,t,f,f,f
307,t,f,f,f
308,t,f,f,f
370,f,t,f,f
371,f,t,f,f
372,f,t,f,f
374,t,f,f,f
375,t,f,f,f
377,t,f,f,f
378,t,f,f,f
379,t,f,f,f
384,t,f,f,f
385,t,f,f,f
386,t,f,f,f
404,f,t,f,f
857,f,f,f,t
405,f,t,f,f
406,f,t,f,f
407,f,t,f,f
411,t,f,f,f
412,t,f,f,f
413,t,f,f,f
414,t,f,f,f
415,t,f,f,f
416,t,f,f,f
417,t,f,f,f
418,t,f,f,f
423,f,f,t,f
424,f,f,t,f
458,f,f,t,f
459,f,f,t,f
460,f,f,t,f
511,t,f,f,f
514,t,f,f,f
517,t,f,f,f
519,t,f,f,f
627,f,f,t,f
591,t,f,f,f
593,t,f,f,f
595,t,f,f,f
596,t,f,f,f
597,t,f,f,f
598,t,f,f,f
599,t,f,f,f
605,t,f,f,f
606,t,f,f,f
729,f,f,f,t
758,t,f,f,f
762,f,f,f,f
761,t,t,f,f
626,f,f,t,f
634,f,t,f,f
856,f,f,f,t
586,t,f,f,f
588,t,f,f,f
589,t,f,f,f
592,t,f,f,f
601,t,f,f,f
602,t,f,f,f
603,t,f,f,f
604,t,f,f,f
735,t,f,f,f
286,t,f,f,f
283,t,f,f,f
284,t,f,f,f
285,t,f,f,f
667,f,f,f,t
544,t,f,f,f
177,f,f,t,f
545,t,f,f,f
701,t,f,f,f
730,t,f,f,f
700,t,f,f,f
702,t,f,f,f
731,t,f,f,f
734,t,f,f,f
737,t,f,f,f
738,t,f,f,f
739,t,f,f,f
748,t,f,f,f
752,t,f,f,f
756,t,f,f,f
757,t,f,f,f
581,f,f,f,t
759,t,f,f,f
760,t,f,f,f
766,t,f,f,f
767,t,f,f,f
252,t,f,f,f
768,t,f,f,f
779,t,f,f,f
780,t,f,f,f
825,t,f,f,f
826,t,f,f,f
827,t,f,f,f
828,t,f,f,f
755,t,f,f,f
769,t,f,f,f
775,t,f,f,f
776,t,f,f,f
832,t,f,f,f
272,t,f,f,f
380,t,f,f,f
381,t,f,f,f
474,f,f,f,f
472,f,f,f,t
711,f,f,f,t
364,f,f,f,t
473,f,f,f,t
531,t,f,f,f
477,f,f,f,t
578,f,f,f,t
831,t,f,f,f
732,t,f,f,f
733,t,f,f,f
356,f,f,f,t
357,f,f,f,t
582,f,f,f,t
844,f,f,f,t
32,f,f,f,t
102,t,f,f,f
358,f,f,f,t
945,t,f,f,f
515,t,f,f,f
310,f,f,f,t
319,f,f,f,t
704,t,f,f,f
736,t,f,f,f
740,f,f,f,t
237,f,f,f,f
695,f,f,f,t
367,t,f,f,f
368,t,f,f,f
454,f,f,t,f
455,f,f,t,f
304,t,f,f,f
305,t,f,f,f
389,t,f,f,f
390,t,f,f,f
391,t,f,f,f
392,t,f,f,f
485,t,f,f,f
238,t,f,f,f
694,f,f,f,t
486,t,f,f,f
692,f,f,f,t
488,t,f,f,f
489,t,f,f,f
496,t,f,f,f
503,t,f,f,f
504,t,f,f,f
505,t,f,f,f
506,t,f,f,f
150,f,f,t,f
497,f,f,f,f
716,f,f,f,t
850,t,f,f,f
502,t,f,f,f
491,t,f,f,f
851,t,f,f,f
703,t,f,f,f
538,t,f,f,f
852,t,f,f,f
523,t,f,f,f
490,t,f,f,f
534,t,f,f,f
535,t,f,f,f
536,t,f,f,f
537,t,f,f,f
524,t,f,f,f
526,t,f,f,f
849,t,f,f,f
293,f,f,f,f
613,f,f,f,t
614,f,f,f,t
615,f,f,f,t
741,f,f,f,t
742,f,f,f,t
743,f,f,f,t
250,t,f,f,f
251,t,f,f,f
151,f,f,t,f
152,f,f,t,f
268,t,f,f,f
269,t,f,f,f
270,t,f,f,f
612,f,f,f,t
271,t,f,f,f
273,t,f,f,f
382,t,f,f,f
383,t,f,f,f
697,t,f,f,f
464,f,f,f,t
55,t,f,f,f
47,t,f,f,f
347,f,f,f,t
785,t,f,f,f
786,t,f,f,f
462,f,f,f,t
463,f,f,f,t
160,f,f,f,f
180,f,f,f,f
190,f,f,f,f
467,f,f,f,t
471,f,f,f,t
717,f,f,f,t
539,t,f,f,f
630,f,t,f,f
465,f,f,f,t
353,f,f,f,t
255,t,f,f,f
256,t,f,f,f
257,t,f,f,f
258,t,f,f,f
259,t,f,f,f
260,t,f,f,f
261,t,f,f,f
262,t,f,f,f
263,t,f,f,f
266,t,f,f,f
267,t,f,f,f
628,f,t,f,f
625,f,f,f,f
629,f,t,f,f
814,t,f,f,f
610,t,f,f,f
580,f,f,f,t
579,f,f,f,t
132,f,f,f,f
9,f,f,t,f
154,f,f,t,f
457,f,f,f,f
835,f,f,t,f
109,f,f,f,f
118,f,f,t,f
135,t,f,f,f
140,t,f,f,f
141,t,f,f,f
142,t,f,f,f
143,t,f,f,f
144,t,f,f,f
145,t,f,f,f
156,f,f,f,f
157,f,f,f,f
158,f,f,f,f
159,f,f,f,f
194,f,f,f,f
202,f,f,t,f
221,f,f,f,f
227,t,f,f,f
246,t,f,f,f
264,t,f,f,f
369,f,t,f,f
436,f,f,f,f
441,f,f,f,f
447,f,f,f,f
448,f,f,f,f
324,f,f,f,t
425,f,f,t,f
396,f,t,f,f
809,t,f,f,f
153,f,f,t,f
155,f,f,f,f
178,f,f,t,f
223,f,f,t,f
232,t,f,f,f
292,t,f,f,f
295,f,f,t,f
373,t,f,f,f
376,t,f,f,f
393,f,f,t,f
394,f,f,t,f
395,f,f,t,f
403,f,t,f,f
410,t,f,f,f
456,f,f,t,f
509,t,f,f,f
512,t,f,f,f
583,t,f,f,f
617,f,f,f,f
619,f,f,f,f
620,f,f,f,f
623,f,f,f,f
624,f,f,f,f
795,f,f,f,t
800,f,f,f,t
807,f,f,f,t
659,f,f,f,t
590,t,f,f,f
600,t,f,f,f
518,t,f,f,f
522,t,f,f,f
808,t,f,f,f
419,f,f,f,f
837,f,f,t,f
696,t,f,f,f
705,t,f,f,f
706,t,f,f,f
747,t,f,f,f
749,t,f,f,f
750,t,f,f,f
751,t,f,f,f
845,f,f,f,t
815,f,f,f,t
833,f,f,t,f
327,f,f,f,t
349,f,f,f,t
127,f,f,f,f
938,f,f,f,t
294,f,t,f,f
926,f,t,f,f
919,f,t,f,f
920,f,t,f,f
855,f,f,f,f
917,f,f,f,f
918,f,f,f,f
916,f,t,f,f
922,f,f,f,f
929,f,t,f,f
927,f,t,f,f
924,f,f,f,f
930,f,t,f,f
28,f,f,f,t
928,f,f,f,f
925,f,f,f,f
923,f,f,f,f
932,f,t,f,f
921,f,f,f,f
931,f,f,f,f
78,f,t,f,f
181,f,f,f,f
62,f,f,f,f
7,f,f,f,f
934,f,t,f,f
933,f,f,f,f
73,f,f,f,f
10,f,f,t,f
17,f,f,f,f
23,f,f,t,f
182,f,t,f,f
714,f,f,f,t
939,f,f,f,t
575,f,f,f,t
30,f,f,f,t
948,f,f,f,f
107,f,f,t,f
18,f,f,t,f
72,t,f,f,f
957,f,f,f,f
398,f,t,f,f
86,t,t,t,t
949,f,t,f,f
950,f,t,f,f
951,f,t,f,f
952,f,f,f,f
953,f,t,f,f
954,f,t,f,f
955,f,t,f,f
956,f,t,f,f
397,f,t,f,f
958,f,t,f,f
959,f,t,f,f
960,f,f,f,f
961,f,t,f,f
183,f,t,f,f
962,f,f,f,f
763,f,t,f,f
200,f,t,f,f
199,f,t,f,f
